County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,1288,1251,37,19521
ALLEGHENEY,SW,15838,15183,1655,220307
ARMSTRONG,SW,897,810,87,9151
BEAVER,W2,2451,2344,107,26035
BEDFORD,SC,581,456,125,5763
BERKS,SE,10165,9925,240,67820
BLAIR,SC,1771,1566,205,23135
BRADFORD,NC,1054,978,76,11033
BUCKS,SE,11051,10313,738,124465
BUTLER,SW,2102,1685,417,28823
CAMBRIA,SW,1456,1171,275,28961
CAMERON,NW,14,12,2,550
CARBON,NE,694,685,9,11744
CENTRE,NC,4500,4313,187,38654
CHESTER,SE,8641,8275,366,105831
CLARION,NW,298,216,82,4369
CLEARFIELD,NW,568,460,108,10219
CLINTON,NC,312,276,36,5270
COLUMBIA,NC,1121,1079,42,9998
CRAWFORD,NW,687,539,148,11328
CUMBERLAND,SC,2745,2556,189,40395
DAUPHIN,SC,5367,5197,170,57931
DELWARE,SE,14648,14210,438,138016
ELK,NW,250,211,39,3336
ERIE,NW,2493,2074,419,35674
FAYETTE,SW,1154,1068,86,19980
FOREST,NW,20,16,4,950
FRANKLIN,SC,2546,2454,92,25996
FULTON,SC,116,96,20,1647
GREENE,SW,315,251,64,5443
HUNTINGDON,SC,1172,1066,106,8739
INDIANA,SW,1391,1145,246,11761
JEFFERSON,NW,271,197,74,4531
JUNIATA,SC,279,259,20,3030
LACKAWANNA,NE,4031,3799,232,40226
LANCASTER,SE,10562,10350,212,101711
LAWRENCE,NW,1175,940,235,9951
LEBANON,SC,3503,3359,144,26828
LEHIGH,NE,7290,7168,122,75393
LUZERNE,NE,5948,5691,257,58034
LYCOMING,NC,1064,988,76,16617
MCKEAN,NW,184,146,38,5661
MERCER,NW,1302,1094,208,15299
MIFFLIN,SC,562,519,43,8414
MONROE,NE,2211,2152,59,28052
MONTGOMERY,SE,15118,14922,196,185711
MONTOUR,NC,324,300,24,8466
NORTHAMPTON,NE,5911,5688,233,69134
NORTHUMERLAND,NC,1704,1597,107,15135
PERRY,SC,408,369,39,5627
PHILADELPHIA,SE,42307,41747,560,349257
PIKE,NE,663,630,33,8138
POTTER,NC,70,66,4,1538
SCHUYLKILL,SE,2366,2171,195,25272
SNYDER,NC,549,470,79,4942
SOMERSET,SW,531,434,97,13073
SULLIVAN,NC,22,17,5,858
SUSQUEHANNA,NE,450,418,32,5818
TIOGA,NC,308,265,43,4876
UNION,NC,770,717,53,17307
VENANGO,NW,388,288,100,6115
WARREN,NW,82,70,12,4273
WASHINGTON,SW,2399,2036,363,31779
WAYNE,NE,308,290,18,8030
WESTMORELAND,SW,4899,4235,665,54137
WYOMING,NE,213,182,31,3582
YORK,SC,7072,6794,278,78705
